,,1d,Translation 1d,1e,Translation 1e,1f,Translation 1f,1i,Translation 1i,2d,Translation 2d,2e,Translation 2e,2f,Translation 2f,2i,Translation 2i,3d,Translation 3d,3e,Translation 3e,3f,Translation 3f,3j,Translation 3j
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Chrétien converti à l'islam,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,BA TA LO KORORO,"Regardele , espèce de l'âne; ",ITA WA BE AFRIKA,Frère compatriote centrafricain,,,,,Sewa ati azo ti loukoundou,La famille sorcière; ,,,,,,,,,,
UN ANIMAL,Enfant qui aurait plusieurs pères; ,UN ANIMAL,,,,MO GBA SOUS COUVERT SO KOUE MO TENE MO ZA YANGA NA ZO,"Tu demeure encore sous couvert, mais tu oses faire la gueule! ",A ITA TI I TI WALI,nos sœurs,,,,,tiki pa,accompagnateur,,,,,,,,,,
HAINE,Ceux de l'ethnie banda sont des calomniateurs; ,HAINE,,,,"HON NA NI KA , MO YEKE TI MO BANDA .","Va là bas, car tu es de l'ethnie banda; ",WA BE AFRIKA,les centrafricains; ,,,,,Zanga akal gole,Sans valeur,,,,,,,,,,
TU ES UN BANDA,Prostituée; un Voleur; Sidéens; ,TU ES UN BANDA,,,,MO MBORORO ANGUE TI MO,"Toi peuhl, méfies-toi; ",ITA TI MBI WA BE AFRIKA,Mon frère centrafricain; ,,,,,lo gui gbi lo yoe awé,il l'a trahi; ,,,,,,,,,,
VAGIN DE TA MERE,Milices chrétiens; ,VAGIN DE TA MERE,,,,BA WANDE SO LA KA SO,Regarde-moi ce étranger qui est labas; ,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
PERE,Sans valeur; Pieds; ,PERE,,,,SARANGA TI LO SO HON NDONI,ces caprices débordent,A ITA TI I  A WA BE AFRIKA,Mes frères centrafricains; ,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,donner de l'impossibilité à quelqu'un,QUALIFICATION NEFASTE,,,,TA MO SO MO GA LAWA,"Toi là, tu es venu quand?",ITA TI BE AFRICA,Frère compatriote centrafricin; ,,,,,,,,,,,,,,,,
BORDELLE,Jalousie,BORDELLE,,,,YA NDATA MO,Ton cul;,ITA WALI,Sœur; ,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Chrétien converti à l'islam,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,BA BOUBE TI MO SO SI,Regarde moi ce vieux père là; ,FRERE ( ITA ),,,,,,,,,,,,,,,,,
Salete,Enfant qui aurait plusieurs pères; ,Salete,,,,ALA NI SO A GA LAWA,"ceux là, sont venus  quand? ",ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
Simple Banda,Ceux de l'ethnie banda sont des calomniateurs; ,Simple Banda,,,,PIYOLE,La maison ; ,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Prostituée; un Voleur; Sidéens; ,"Anti Balaka,AK47",Milices chrétiens; ,,,BA LO ZO TI MBANA,"Regarde le, crapuleux; ",Kata,Prostituée;,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Milices chrétiens; ,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,BA LO YANGA O,Regarde moi sa bouche en forme de O; ,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
I mo na i gbongo,Sans valeur; Pieds; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,"HUM MO SO , MO YEKE TI MO ZO TI TERE TI TOUADERA SO PARDON","Toi là, tu es un fervent de Touadera, donc pardon laisse nous; ",Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
"dfghjklmùlk,nbv c ",donner de l'impossibilité à quelqu'un,"dfghjklmùlk,nbv c ",non déchiffré,,,BA LO ARABO KRIDJI,"Regarde le, Musulman indicipliné; ",Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
fetiche,Jalousie,fetiche,,,,A ITA TI I SO A TENE ALA KAE AZO TI TENGO ZO,Nos frères là disent souvent qu'ils sont les sorciers (mangeur de chair humaine),Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Chrétien converti à l'islam,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,"BA TA LO SO NA VESTE SO , KOTA ESCROC","Regarde moi celui en veste là,c'est  un grand escroc;",Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
KOTA BE,Enfant qui aurait plusieurs pères; ,KOTA BE,Jalousie,,,"BA LO MA, LO GUI ZO TI NDJI A.","Regarde-le , il est en train de chercher à voler; ",WALI,Femme; ,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Ceux de l'ethnie banda sont des calomniateurs; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,BA GUINGO LO,Regarde comment il est maigre; ,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Prostituée; un Voleur; Sidéens; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,LO TI LO BOUBA MINGUI ;,Il est trop stupide; ,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
HAINE,Milices chrétiens; ,HAINE,,,,"KA I TENE TI I GNE , A WALI TI A TAXI MOTO","Mais on dira quoi alors,les épouses des conducteurs de moto-taxi;  ",Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Sans valeur; Pieds; ,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,KA MO YE APE MO SALA GBAGBA NA TERE TI ME TI MO MA,"Si tu n'apprécies pas , bouches tes oreilles; ",A ITA TI I,Mes frères ,,,,,,,,,,,,,,,,
UN ANIMAL,donner de l'impossibilité à quelqu'un,UN ANIMAL,,,,"LINKOUNDOU TI ALA NI SO , APEU ANDE TI TE MBI APE",je ne serais pas victime de ta sorcellerie,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leur frère,,,,,,,,,,,,,,,,
HAINE,Jalousie,HAINE,,,,LO MANDJA SO ME,Celui de l'ethnie Mandjà là; ,I TA TI MBI TI WALI,Ma sœur;  ,,,,,,,,,,,,,,,,
TU ES UN BANDA,Chrétien converti à l'islam,TU ES UN BANDA,,,,KPI TI LI LO SO A YEKE TI LO DAPE,"Celui là, il n'a pas de réflexe; ",Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Enfant qui aurait plusieurs pères; ,VAGIN DE TA MERE,,,,BA LO PINDOUGOU,"Regarde la, prostitiuée; ",ITA TI MBI TI WALI,Ma sœur; ,,,,,,,,,,,,,,,,
PERE,Ceux de l'ethnie banda sont des calomniateurs; ,PERE,,,,BA LO TOUBE,"Regarde le , Peuhl; ",yo Yami,vous mes frères,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Prostituée; un Voleur; Sidéens; ,QUALIFICATION NEFASTE,,,,BA LO WALI NDOMO,"Regarde la, femme Fainéante; ",ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
BORDELLE,Milices chrétiens; ,BORDELLE,,,,BA LO BENGUE,"Regarde le ,musulman; ","ITA TI MBI, WA BE AFRICA",Mon frère compatriote centrafricain; ,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Sans valeur; Pieds; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,LO SO ARABO LA,"Celui là, c'est un musulman; ",ITA WA BE AFRIKA,Frère compatriote centrafricain; ,,,,,,,,,,,,,,,,
Salete,donner de l'impossibilité à quelqu'un,Salete,,,,"MO SO , BA LO A YORO KEKE NA YA TI MO","Toi là, on t'encule; ",A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
Simple Banda,Jalousie,Simple Banda,,,,HUM MO SO KOUE I PEU TI DIKO MO NA MILIEU TI AZO,"Toi là aussi, on peut te considérer parmis les qui?;",WA BE AFRIKA,Centrafricain,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Chrétien converti à l'islam,"Anti Balaka,AK47",Milices chrétiens; ,,,"BA LE TI LO , ZO TI YORO","Regardeces yeux, un praticien; ",ITA TI MBI WA BE AFRIKA,Mon frère centrafricain ,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Enfant qui aurait plusieurs pères; ,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,MO SOUKOULA LI GA SI,"Toi chrétien converti à l'islam, vient d'abord; ",ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
I mo na i gbongo,Ceux de l'ethnie banda sont des calomniateurs; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,HON ALA ZA I ; TEMPS TI ALA A HON AWE,Laissez nous tranquille; nous ne sommes plus à votre époque,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Prostituée; un Voleur; Sidéens; ,"Zanga ,Kodjos,Djrif",non déchiffré,,,ALA A BABA SO LAKOUE GUI ALA LA,"vous les vieux là, toujours vous ètes là; ",ITA TI BE AFRICA,Frère compatriote centrafricain; ,,,,,,,,,,,,,,,,
fetiche,Milices chrétiens; ,fetiche,,,,"ALA SO LANI, MO BA ALA? ALA TENE ALA LA;","Ceux là d'hier, tu les voyait?; Ils se vantaient!;",ITA WALI,Femme; ,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Sans valeur; Pieds; ,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,LE TI MO A BE SO MO MENE TRAMOL AWE LA,"avec tes yeux rouge là, tu aurais consommé la drogue en prenant le comprimé Tramadole; ",FRERE ( ITA ),,,,,,,,,,,,,,,,,
KOTA BE,donner de l'impossibilité à quelqu'un,KOTA BE,Jalousie,,,BA LO TRAMOLIE,"Regarde le, drogué suite à la prise du comprimé Tramadole; ",ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,non déchiffré,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,BA LO FAUX,"Regarde le, Faux type; ",Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Jalousie,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,"NDJONI MA COMME MO TENE TONGASO , MBI WARA NGUINDJA TI MBI APE , MBI YEKE FA MO","D'accord , tel que tu as dit, tant que je ne retrouve pas mon argent, je vais te tuer;",Kata,Prostituée;,,,,,,,,,,,,,,,,
HAINE,Chrétien converti à l'islam,HAINE,,,,BA LO KOTA ZO TI NDJI,"Regarde le, un grand voleur; ",Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Enfant qui aurait plusieurs pères; ,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,MO KE DJACK,Tu es un athé,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
UN ANIMAL,Ceux de l'ethnie banda sont des calomniateurs; ,UN ANIMAL,,,,IRI TI MO GRACE NA BALAKA,"tu te nomme, grace aux milices chrétiens; ",Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
HAINE,Prostituée; un Voleur; Sidéens; ,HAINE,,,,I TIRI LANI GUE SO MO YEKE DA ?,"Lorsqu'on combattait les ennemis là, est-ce tu était là; ",Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
TU ES UN BANDA,Milices chrétiens; ,TU ES UN BANDA,,,,ALA SO TEMPS TI ALA A HON AWE,"Vous là, votre temps est révolu; ",Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Sans valeur; Pieds; ,VAGIN DE TA MERE,,,,HO IRI LO APE ZO TI TOUADERA LA,"s'il te plaît, ne l'appelle pas c'est un partisan de Touadéra; ",WALI,Femme; ,,,,,,,,,,,,,,,,
PERE,donner de l'impossibilité à quelqu'un,PERE,,,,EST CE QUE MO BA ZO TI NIVO TI MO AZ YEKE GUE?,as-tu vu un de ton niveau parmi nous?,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Jalousie,QUALIFICATION NEFASTE,,,,MO SO MO INGA TI MO NDO APE,"Toi là , tu ne connais rien; ",i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
BORDELLE,Chrétien converti à l'islam,BORDELLE,,,,HE MO MBI PROMOTION TI MO APE,"Hé toi, je ne suis pas de ta promotion; ",Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Enfant qui aurait plusieurs pères; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,MO TI MO ZO TI SALTE,tu manques de propriété,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
Salete,Ceux de l'ethnie banda sont des calomniateurs; ,Salete,,,,BA LO ARABO CRIDI,"Regarde le, Musulman indicipliné; ",A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frère qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
Simple Banda,Prostituée; un Voleur; Sidéens; ,Simple Banda,,,,ESPECE DE MALFRA,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Milices chrétiens; ,"Anti Balaka,AK47",Milices chrétiens; ,,,BORDELLE QUE TU ES,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Sans valeur; Pieds; ,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,BA TA LE TI ALA A MBO TI TOUADERA,"Regardez moi leurs yeux, les chiens de Touadéra (porteur de cache-nez contre COVID-19); ",ITA TI MBI TI WALI,Ma sœur; ,,,,,,,,,,,,,,,,
I mo na i gbongo,donner de l'impossibilité à quelqu'un,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,BA TA VOYOU SO HEIN,Regarde moi ce voyou là; ,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Jalousie,"Zanga ,Kodjos,Djrif",,,,"BA TA MO HEIN , EST CE QUE I TIRI LANI GUE SO EST CE QUE MO YEKE DA ?","Regarde toi, quand nous combattions les ennémis, est ce que tu était là; ",ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
fetiche,Chrétien converti à l'islam,fetiche,,,,LO SO ARABO LA,"Celui là, un musulman ; ","ITA TI MBI, WA BE AFRICA",Mon frère compatriote centrafricain; ,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Enfant qui aurait plusieurs pères; ,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,"TRAMOLIE , ALA A TAXI MOTO SO LA","Drogué, c'est toujours vous les conducteurs de moto-taxis; ",ITA WA BE AFRIKA,"Frère, compatriote centrafricain; ",,,,,,,,,,,,,,,,
KOTA BE,Ceux de l'ethnie banda sont des calomniateurs; ,KOTA BE,Jalousie,,,"MO NI SO KOUE LA , MO GA LAWA ?",C'est toi là aussi; Quand-est ce que tu es venu; ,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Prostituée; un Voleur; Sidéens; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,MO SALA BOUB TI MO NA MBI MO BA; MBI YEKE FA NA MO,méfies-toi de moi; Je peux te tuer ; ,WA BE AFRIKA,Centrafricain; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Milices chrétiens; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,"BA LO CHAUFFAR SO , LO INGA TI KPE NA AUTO APE","Regarde le , Mauvais chauffeur, il ne sait même pas conduire ;",ITA TI MBI WA BE AFRIKA,Mon frère centrafricain; ,,,,,,,,,,,,,,,,
HAINE,Sans valeur; Pieds; ,HAINE,,,,BA LO MBORORO,Regarde-le peuhl; ,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,donner de l'impossibilité à quelqu'un,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,LO SO YAKOMA LA,"Celui là, c'est un yakoma; ",A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
UN ANIMAL,Jalousie,UN ANIMAL,,,,"BA LO GODOBE, ZO TI BE TI LEGUE","Regarde le , enfant de la rue; ",ITA TI BE AFRICA,Frère centrafricain; ,,,,,,,,,,,,,,,,
HAINE,Chrétien converti à l'islam,HAINE,,,,BA VIEU SO KA SO,regarde ce  vieux assis làbas ; ,ITA WALI,chère Sœur; ,,,,,,,,,,,,,,,,
TU ES UN BANDA,Enfant qui aurait plusieurs pères; ,TU ES UN BANDA,,,,BA KPANDA LO,"Regarde le, chiot;  ",FRERE ( ITA ),,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Ceux de l'ethnie banda sont des calomniateurs; ,VAGIN DE TA MERE,,,,BA LO BALAKA,"Regarde-le, milice chrétien; ",ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
PERE,Prostituée; un Voleur; Sidéens; ,PERE,,,,A WALI TI AZO SO AYE BON MINGUI,les épouses des maris endettés ; ,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Milices chrétiens; ,QUALIFICATION NEFASTE,,,,"REGIME TI ALA LA , ALA SARA BIANI","C'est votre régime, donc profitez-en ; ",Kata,Prostituée;,,,,,,,,,,,,,,,,
BORDELLE,Sans valeur; Pieds; ,BORDELLE,,,,MO COMMENCE TI GA KOLIK AWE,Tu commences déjà à devenir un mature; ,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",donner de l'impossibilité à quelqu'un,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,BA LO FOUNGO TERE,Regarde-le corps puant; ,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
Salete,Jalousie,Salete,,,,HUM BA NGA LO NA YE SO SI LO YEKE SARA NI SO?,"Regarde le , avec ce qu'il est entrain d'y faire là; ",Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
Simple Banda,Chrétien converti à l'islam,Simple Banda,,,,MO SO MO GA TI MO BABA AWE ? GNE LA MO PEU TI SARA NA MBI ?,"au moins toi, en devenant vieux que pourait-tu produire?",Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Enfant qui aurait plusieurs pères; ,"Anti Balaka,AK47",Milices chrétiens; ,,,MO SO MO YEKE ZO TI GNONGO GBAKO AH,"Toi là, tu es un consommateur de l'alcool de traite; ",Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Ceux de l'ethnie banda sont des calomniateurs; ,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,HUM KPANDA MO SO KOUE MO KPA MEME NA MBI LA?,"Toi le chiot, on peut se ressembler?",WALI,Femme; ,,,,,,,,,,,,,,,,
I mo na i gbongo,Prostituée; un Voleur; Sidéens; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,DOU TI POROU TI ALA KOUE,ton anus; ,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Milices chrétiens; ,"Zanga ,Kodjos,Djrif",,,,"HO WALI SO, MBI GUI LO DEJA AWE","Cette femme là, je l'ai déjà baisé; ",i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
fetiche,Sans valeur; Pieds; ,fetiche,,,,MO YEKE GA GANGO,Tu es un étranger profiteur; ,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,donner de l'impossibilité à quelqu'un,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,ALA TE BIANI TENE TI A YEKE TANGO TI ALA LA,"Mangez bien , car c'est votre tour; ",A ITA TI I,Mes frères; ,,,,,,,,,,,,,,,,
KOTA BE,Jalousie,KOTA BE,Jalousie,,,MO YEKE MBORORO ; TU ES UN PEUHL,Tu es un peuhl; ,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Chrétien converti à l'islam,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,MO YEKE GA GANGO,Tu es un étranger profiteur; ,I TA TI MBI TI WALI,Ma sœur; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,MO YEKE GBAYA ; TU ES UN GBAYA,Tu es de l'ethnie Gbaya;,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
HAINE,Ceux de l'ethnie banda sont des calomniateurs; ,HAINE,,,,MO YEKE BALAKA,Tu es un milice chrétien; ,ITA TI MBI TI WALI,Ma sœur; ,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Prostituée; un Voleur; Sidéens; ,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,AH ! HON NA BOUBA TI MO NI KA !,Dégages avec tes stupidités là; ,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
UN ANIMAL,Milices chrétiens; ,UN ANIMAL,,,,ALA A BABA SO MEE,Vous les vieux là; ,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
HAINE,Sans valeur; Pieds; ,HAINE,,,,"EH BA LO KATA , SORS DE LA ,VITE, MO BA LA OKO MBI GUI KATA","Regarde la, prostitiuée; Tu m'as déjà vu un jour baisée une prostituée; ","ITA TI MBI, WA BE AFRICA","Mon frère, centrafricain; ",,,,,,,,,,,,,,,,
TU ES UN BANDA,donner de l'impossibilité à quelqu'un,TU ES UN BANDA,,,,EH A GA GANGO SO NDO TI ALA A YEKE GUE PEPE,"Les arrivistes là, est-ce leur territoire?",ITA WA BE AFRIKA,Frère centrafricain,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Jalousie,VAGIN DE TA MERE,,,,SO NGUI A TI NDONDON MAMA LA,Là c'est l'amusement de vagin de la mère; ,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
PERE,Chrétien converti à l'islam,PERE,,,,OH PINDOUGOU,Prostituée; ,WA BE AFRIKA,Centrafricain; ,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Enfant qui aurait plusieurs pères; ,QUALIFICATION NEFASTE,,,,PORORO YONG SATANGOLE,les peulhs mangeurs de la viande boucanée,ITA TI MBI WA BE AFRIKA,Mon frère centrafricain,,,,,,,,,,,,,,,,
BORDELLE,Ceux de l'ethnie banda sont des calomniateurs; ,BORDELLE,,,,"CAMARADE , PORORO YONG NOU SATANGOLE ;",les peulhs mangeurs de la viande boucanée,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,EH MO PINDOUGOU,"Eh toi, prostituée; ",A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
Salete,Milices chrétiens; ,Salete,,,,HO A BOUBA ARABO SO LA A DERANGER SO A,"vous les  musulmans stupides, vous dérangez trop",ITA TI BE AFRICA,Frère centrafricain,,,,,,,,,,,,,,,,
Simple Banda,Sans valeur; Pieds; ,Simple Banda,,,,TU ES BENGUE,tu es musulman,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",donner de l'impossibilité à quelqu'un,"Anti Balaka,AK47",Milices chrétiens; ,,,ALA SO A TABA LA,"Ceux là, sont des moutons; ",FRERE ( ITA ),,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Jalousie,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,A bengue so a la ke,Ces musulmans ont refusé; ,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
I mo na i gbongo,Chrétien converti à l'islam,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,Quali lindea,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Enfant qui aurait plusieurs pères; ,"Zanga ,Kodjos,Djrif",,,,A toroboro la a ngati ga zou kwe a londo,Si les policiers arrivent tout le monde doit se lever; ,Kata,Prostituée;,,,,,,,,,,,,,,,,
fetiche,Ceux de l'ethnie banda sont des calomniateurs; ,fetiche,,,,Mas da ma yamfa,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Prostituée; un Voleur; Sidéens; ,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,Pindogou,Prostituée; ,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
KOTA BE,Milices chrétiens; ,KOTA BE,Jalousie,,,Non,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Sans valeur; Pieds; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,Tu es pindougou,Tu es une prostituée;,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,donner de l'impossibilité à quelqu'un,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,Toi Kata,Toi prostituée; ,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
HAINE,Jalousie,HAINE,,,,A la ga mbi ma legue Bandi,"Venez me jetez sur la route, sale bandit; ",WALI, Femme; ,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Chrétien converti à l'islam,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,De Zagbalawa,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
UN ANIMAL,Enfant qui aurait plusieurs pères; ,UN ANIMAL,,,,Non,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
HAINE,Ceux de l'ethnie banda sont des calomniateurs; ,HAINE,,,,so mama wa la yée,c'est quelle mère ça !,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
TU ES UN BANDA,Prostituée; un Voleur; Sidéens; ,TU ES UN BANDA,,,,,,A ITA TI I,Mes frères; ,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Milices chrétiens; ,VAGIN DE TA MERE,,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilsié les armes contre leurs frères,,,,,,,,,,,,,,,,
PERE,Sans valeur; Pieds; ,PERE,,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,donner de l'impossibilité à quelqu'un,QUALIFICATION NEFASTE,,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
